,Name,Category,Year,Profession,Place,Gender,Birthdate,Age,Description,Link,Country
172,Richard Dawkins ,ICONS AND THINKERS,2007,British ethologist,"Nairobi, Kenya",Male,1941-03-26,79,"Richard Dawkins FRS FRSL is a British ethologist, evolutionary biologist, and author. He is an emeritus fellow of New College, Oxford, and was the University of Oxford's Professor for Public Understanding of Science from 1995 until 2008. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595329_1616137,00.html",Kenya
173,"Chris Anderson
 ",ICONS AND THINKERS,2007,Null,Pakistan,Male,1905-05-10,63,"Chris Anderson is a British-American businessman who is the head of TED, a non-profit organization that provides idea-based talks and hosts an annual conference in Vancouver, British Columbia, Canada. Previously he founded Future Publishing. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595329_1616107,00.html",Null
174,Paul Allen ,ICONS AND THINKERS,2007,Null,"Seattle, WA",Male,1953-01-21,0,"Paul Gardner Allen was an American business magnate, investor, and philanthropist. He was best known for co-founding Microsoft Corporation with childhood friend Bill Gates in 1975, which helped spark ... ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595329_1616322,00.html",USA
175,Monty Jones ,ICONS AND THINKERS,2007,Null,"Freetown, Sierra Leone",Male,1951-02-05,69,"Monty Jones is a plant breeder and the Minister of Agriculture, Forestry and Food Security of Sierra Leone. He previously held the position of Special Adviser to the President of Sierra Leone and Ambassador-at-large until his appointment to cabinet. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595329_1616316,00.html",Sierra Leone
176,Klaus Schwab ,ICONS AND THINKERS,2007,Executive Chairman of the World Economic Forum,"Ravensburg, Germany",Male,1938-03-30,82,"Klaus Martin Schwab is a German engineer and economist best known as the founder and executive chairman of the World Economic Forum. His wife and first collaborator, Hilde, co-founded the Schwab Foundation for Social Entrepreneurship with him. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595329_1616308,00.html",Germany
177,Nora Volkow ,ICONS AND THINKERS,2007,American psychiatrist,"Mexico City, Mexico",Female,1956-03-27,64,"Nora Volkow is a Mexican-American psychiatrist. She is currently the director of the National Institute on Drug Abuse, which is part of the National Institutes of Health. Volkow is the first person from the NIH to visit the Dalai Lama at his residence in Dharamshala, Himachal Pradesh, India. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595329_1616091,00.html",Mexico
178,Frans de Waal ,ICONS AND THINKERS,2007,Primatologist,"Hertogenbosch, Netherlands",Male,1948-10-29,72,"Franciscus Bernardus Maria ""Frans"" de Waal is a Dutch primatologist and ethologist. He is the Charles Howard Candler Professor of Primate Behavior in the Department of Psychology at Emory University in ... ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595329_1616472,00.html",Netherlands
179,Douglas Melton ,ICONS AND THINKERS,2007,Investigator,"Chicago, IL",Male,1953-09-26,67,"Douglas A. Melton is the Xander University Professor at Harvard University, and an investigator at the Howard Hughes Medical Institute. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595329_1616837,00.html",USA
180,Kari Stefansson ,ICONS AND THINKERS,2007,CEO of deCODE genetics,Iceland,Male,1949-04-06,71,Kári Stefánsson is an Icelandic neurologist and founder and CEO of Reykjavik-based biopharmaceutical company deCODE genetics. In Iceland he has pioneered the use of population-scale genetics to understand variation in the sequence of the human genome. ,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595329_1616840,00.html",Null
181,Richard Branson ,TITANS,2007,Business magnate,"Blackheath, London, United Kingdom",Male,1950-07-18,70,"Sir Richard Charles Nicholas Branson is an English business magnate, investor, author and former philanthropist. In the 1970s he founded the Virgin Group, which today controls more than 400 companies in various fields. Branson expressed his desire to become an entrepreneur at a young age. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1616195,00.html",United Kingdom
182,Cyril Ramaphosa ,TITANS,2007,President of South Africa,"Soweto, South Africa",Male,1952-11-17,68,Matamela Cyril Ramaphosa is a South African politician serving as President of South Africa since 2018 and President of the African National Congress since 2017. ,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615731,00.html",South Africa
183,Erik Lie ,TITANS,2007,Null,"Porsgrunn, Norway",Male,,0,Erik Lie is a Norwegian finance professor at the University of Iowa who published a report about options backdating that led to many investigations by the SEC into the potentially illegal practice. He was the subject of profile in Business Week for his contribution to uncovering options backdating scandals. ,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615726,00.html",Norway
184,Pony Ma ,TITANS,2007,Chief Executive Officer of Tencent,"Chaoyang, Shantou, China",Male,1971-10-29,49,"Ma Huateng, also known as Pony Ma, is a Chinese business magnate, investor and philanthropist. He is the founder, chairman and chief executive officer of Tencent, Asia's most valuable company, one of ... ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615710,00.html",China
185,Chad Hurley & Steve Chen ,TITANS,2007,American media mogul,"Reading, PA",Male,1977-01-24,43,"Chad Meredith Hurley is an American media mogul, co-founder and former CEO of the video-sharing websites YouTube and MixBit. In June 2006, he was voted 28th on Business 2.0's ""50 People Who Matter Now"" list. In October 2006, he and Steve Chen sold YouTube for $1.65 billion to Google. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615691,00.html",USA
186,Katsuaki Watanabe ,TITANS,2007,Japanese businessman,"Mie, Japan",Male,1942-02-13,78,"Katsuaki Watanabe is senior advisor at Toyota Motor Corporation. He was president and CEO of the company before Akio Toyoda assumed those positions on June 23, 2009. Watanabe, who earned a degree in economics from Tokyo's Keio University, joined Toyota upon graduating from that university in 1964. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615688,00.html",Japan
187,Bernard Arnault ,TITANS,2007,Chief Executive of LVMH,"Roubaix, France",Male,1949-03-05,71,"Bernard Jean Étienne Arnault is a French billionaire businessman and art collector. He is the chairman and chief executive of LVMH Moët Hennessy – Louis Vuitton SE, the world's largest luxury-goods company. In April 2018, he became the richest person in fashion, topping Zara's Amancio Ortega. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615680,00.html",France
188,Clara Furse ,TITANS,2007,Executive,Canada,Female,1957-09-16,63,"Dame Clara Hedwig Frances Furse DBE was the chief executive of the London Stock Exchange between January 2001 and May 2009, and was the first woman to occupy the position. In 2005, she was ranked 19th in Fortune magazine's most powerful women in business list. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615532,00.html",Null
189,Ken Lewis ,TITANS,2007,American businessman,"Meridian, MS",Male,1947-04-09,73,"Kenneth D. ""Ken"" Lewis is the former CEO, president, and chairman of Bank of America, the second largest bank in the United States and twelfth largest by total asset in the world. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615533,00.html",USA
190,Lakshmi Mittal ,TITANS,2007,Indian business tycoon,"Sadulpur, India",Male,1950-06-15,70,"Lakshmi Niwas Mittal is an Indian steel magnate, based in the United Kingdom. He is the chairman and CEO of ArcelorMittal, the world's largest steelmaking company. Mittal owns 38% of ArcelorMittal and holds a 20% stake in Queens Park Rangers F.C.. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615526,00.html",India
191,Shigeru Miyamoto ,TITANS,2007,Japanese video game designer,Sonobe,Male,1952-11-16,68,"Shigeru Miyamoto is a Japanese video game designer, producer and game director at Nintendo, where he serves as one of its representative directors. He is the creator of some of the most acclaimed and best-selling game franchises of all time, including Mario and The Legend of Zelda. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615521,00.html",Null
192,Rhonda Byrne ,TITANS,2007,Australian television writer,"Melbourne, Australia",Female,1905-04-28,75,"Rhonda Byrne is an Australian television writer and producer. Her New Thought book The Secret is based on the law of attraction. She wrote several sequels to the book, including The Power, The Magic and Hero, as well as other books that relate to The Secret. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615871,00.html",Australia
193,Steven Cohen ,TITANS,2007,American business tycoon,"Great Neck, NY",Male,1956-06-11,64,"Steven A. Cohen is an American billionaire hedge fund manager and majority owner of the New York Mets of Major League Baseball. He is the founder of hedge fund Point72 Asset Management and now-closed S.A.C. Capital Advisors, both based in Stamford, Connecticut. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615873,00.html",USA
194,Steve Jobs ,TITANS,2007,American business magnate,"San Francisco, CA",Male,1955-02-24,0,"Steven Paul Jobs was an American business magnate, industrial designer, investor, and media proprietor. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615876,00.html",USA
195,Philip Rosedale ,TITANS,2007,American entrepreneur,"San Diego, CA",Male,1968-09-29,52,"Philip Rosedale is an American entrepreneur who founded Linden Lab, which develops and hosts the virtual world Second Life. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615877,00.html",USA
196,Ho Ching ,TITANS,2007,Chief Executive Officer of Temasek Holdings,Colony of Singapore,Female,1953-03-27,67,"Ho Ching is a Singaporean business executive—the chief executive officer of Temasek Holdings. She is married to the current prime minister of Singapore, Lee Hsien Loong. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615992,00.html",Null
197,Indra Nooyi ,TITANS,2007,Chief Executive Officer of Pepsico,"Chennai, India",Female,1955-10-28,65,Indra Nooyi is an Indian-American business executive and former chairperson and chief executive officer of PepsiCo. She has consistently ranked among the world's 100 most powerful women. ,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1615996,00.html",India
198,Stephen Schwarzman ,TITANS,2007,CEO of the Blackstone Group,"Philadelphia, PA",Male,1947-02-14,73,"Stephen Allen Schwarzman is an American businessman, investor, and philanthropist. He is the chairman and CEO of The Blackstone Group, a global private equity firm he established in 1985 with former chairman and CEO of Lehman Brothers and US Secretary of Commerce Peter G. Peterson. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1616000,00.html",USA
199,Michael Moritz ,TITANS,2007,Venture capitalist,"Cardiff, United Kingdom",Male,1954-09-12,66,"Sir Michael Jonathan Moritz KBE is a Welsh billionaire venture capitalist and former journalist. Moritz works for Sequoia Capital and is a philanthropist and author of the first history of Apple Inc., The Little Kingdom, and of Going for Broke: Lee Iacocca's Battle to Save Chrysler. ","content.time.com/time/specials/2007/time100/article/0,28804,1595326_1615737_1616199,00.html",United Kingdom
200,Luiz Inácio Lula da Silva ,LEADERS,2010,Former President of Brazil,"Caetés, Brazil",Male,1945-10-27,75,"Luiz Inácio Lula da Silva, known as Lula, is a Brazilian politician and former union leader who served as the 35th President of Brazil from 1 January 2003 to 31 December 2010. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984866,00.html",Brazil
201,J.T. Wang ,LEADERS,2010,Null,,Unknown,1954-07-01,66,Null,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985425,00.html",Null
202,Admiral Mike Mullen ,LEADERS,2010,Former Chairman of the Joint Chiefs of Staff,"Los Angeles County, CA",Male,1946-10-04,74,"Michael Glenn Mullen is a retired United States Navy admiral, who served as the 17th Chairman of the Joint Chiefs of Staff from October 1, 2007, to September 30, 2011. Mullen previously served as the Navy's 28th Chief of Naval Operations from July 22, 2005, to September 29, 2007. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985426,00.html",USA
203,Barack Obama ,LEADERS,2010,44th U.S. President,"Honolulu, HI",Male,1961-08-04,59,"Barack Hussein Obama II is an American politician and attorney who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American president of the United States. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985427,00.html",USA
204,Ron Bloom ,LEADERS,2010,Official,"New York, NY",Male,1905-05-09,64,Ron Bloom was a senior official in the Obama Administration from February 2009 to August 2011. This included working as the Assistant to the President for Manufacturing Policy between February 2011 and ... ,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985429,00.html",USA
205,Yukio Hatoyama ,LEADERS,2010,Former Prime Minister of Japan,"Bunkyo City, Tokyo, Japan",Unknown,1947-02-11,73,Yukio Hatoyama is a former Japanese politician who served as Prime Minister of Japan from 16 September 2009 to 8 June 2010. He was the first Prime Minister from the modern Democratic Party of Japan. ,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985436,00.html",Japan
206,Dominique Strauss-Kahn ,LEADERS,2010,"Former French Minister of the Economy, Finance and Industry","Neuilly-sur-Seine, France",Male,1949-04-25,71,"Dominique Gaston André Strauss-Kahn is a French economist, politician, former managing director of the International Monetary Fund, and a controversial figure in the French Socialist Party due to his involvement in several financial and sexual scandals. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985437,00.html",France
207,Nancy Pelosi ,LEADERS,2010,U.S. Speaker of the House,"Baltimore, MD",Female,1940-03-26,80,"Nancy Patricia Pelosi is an American politician serving as Speaker of the United States House of Representatives since 2019, and previously from 2007 to 2011. Pelosi has served as a U.S. representative from California since 1987. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985438,00.html",USA
208,Sarah Palin ,LEADERS,2010,Former Governor of Alaska,"Sandpoint, ID",Female,1964-02-11,56,"Sarah Louise Palin is an American retired politician, commentator, author, and reality television personality, who served as the ninth governor of Alaska from 2006 until her resignation in 2009. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984871,00.html",USA
209,Salam Fayyad ,LEADERS,2010,Former Prime Minister of the Palestinian National Authority,Deir al-Ghusun,Male,1952-04-12,68,Salam Fayyad is a Jordanian-Palestinian politician and former Prime Minister of the Palestinian Authority and Finance Minister. He was Finance Minister from June 2002 to November 2005 and from March 2007 to May 2012. Fayyad was Prime Minister between June 2007 and June 2013. ,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984897,00.html",Null
210,Jon Kyl ,LEADERS,2010,Former United States Senator,"Oakland, NE",Male,1942-04-25,78,"Jon Llewellyn Kyl is an American politician who served as a United States Senator for Arizona from 1995 to 2013 and again in 2018. A Republican, he held both of Arizona's Senate seats at different times, serving alongside John McCain during his first stint. Kyl was Senate Minority Whip from 2007 until 2013. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984901,00.html",USA
211,Glenn Beck ,LEADERS,2010,CEO of TheBlaze,"Everett, WA",Male,1964-02-10,56,"Glenn Lee Beck is an American conservative political commentator, radio host, television producer. He is the CEO, founder, and owner of Mercury Radio Arts, the parent company of his television and radio network TheBlaze. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985415,00.html",USA
212,Annise Parker ,LEADERS,2010,Former Mayor of Houston,"Houston, TX",Female,1956-05-17,64,"Annise Danette Parker is an American politician who served as the 61st Mayor of Houston, Texas, from 2010 until 2016. She also served as an at-large member of the Houston City Council from 1998 to 2003 and city controller from 2004 to 2010. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985414,00.html",USA
213,Tidjane Thiam ,LEADERS,2010,Chief Executive Officer of Prudential,C√¥te d'Ivoire,Male,1962-07-29,58,"Tidjane Thiam is an Ivorian banker who was the chief executive officer of Swiss bank Credit Suisse from March 2015 to February 2020. He was the chief financial officer of British banking group Prudential from 2007 to 2009, and then its CEO until 2013. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985413,00.html",Null
214,Jenny Beth Martin ,LEADERS,2010,Columnist,Georgia,Female,1970-07-02,50,"Jenny Beth Martin is the co-founder and national coordinator of the Tea Party Patriots, and a columnist for The Washington Times. In February 2010, Martin was named to TIME Magazine's 100 Most Influential Leaders. She is the co-author of Tea Party Patriots: The Second American Revolution. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985462,00.html",Null
215,Christine Lagarde ,LEADERS,2010,President of the European Central Bank,"Paris, France",Female,1956-01-01,64,"Christine Madeleine Odette Lagarde is a French politician, businessperson and lawyer serving as President of the European Central Bank since 1st November 2019. Between July 2011 and September 2019, she served as Chair and Managing Director of the International Monetary Fund. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985463,00.html",France
216,Recep Tayyip Erdogan ,LEADERS,2010,President of Turkey,"Kasımpaşa, Beyoğlu, Turkey",Male,1954-02-26,66,Recep Tayyip Erdoğan is a Turkish politician serving as the current President of Turkey. He previously served as Prime Minister of Turkey from 2003 to 2014 and as Mayor of Istanbul from 1994 to 1998. ,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985464,00.html",Turkey
217,General Stanley McChrystal ,LEADERS,2010,Armed force officer,Fort Leavenworth,Male,1954-08-14,66,"Stanley Allen McChrystal is a retired United States Army general best known for his command of Joint Special Operations Command in the mid-2000s. His last assignment was as Commander, International Security Assistance Force and Commander, United States Forces – Afghanistan. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984880,00.html",Null
218,Manmohan Singh ,LEADERS,2010,Former Indian Prime Minister,"New Delhi, India",Male,1932-09-26,88,"Manmohan Singh is an Indian economist, academic, and politician who served as the 13th Prime Minister of India from 2004 to 2014. The first Sikh in office, Singh was also the first prime minister since Jawaharlal Nehru to be re-elected after completing a full five-year term. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984890,00.html",India
219,Bo Xilai ,LEADERS,2010,Former Minister of Commerce of the People's Republic of China,Beiping,Male,1949-07-03,71,"Bo Xilai is a former Chinese politician who was convicted on bribery and embezzlement charges. He came to prominence through his tenures as Mayor of Dalian and then the governor of Liaoning. From 2004 to November 2007, he served as Minister of Commerce. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985416,00.html",Null
220,Mark Carney ,LEADERS,2010,Economist,"Fort Smith, Canada",Male,1965-03-16,55,"Mark Joseph Carney OC is an economist and banker who served as the Governor of the Bank of Canada from 2008 until 2013 and the Governor of the Bank of England from 2013 to 2020. He holds Canadian, British and Irish citizenship and was Chairman of the Financial Stability Board from 2011 to 2018. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985417,00.html",Canada
221,Sister Carol Keehan ,LEADERS,2010,,"Washington, D.C.",Female,,0,"Sister Carol Keehan, D.C. is a member of the Daughters of Charity of Saint Vincent de Paul and the CEO of the Catholic Health Association of the United States. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985418,00.html",D.C.
222,Sheik Khalifa bin Zayed al-Nahyan ,LEADERS,2010,President of the United Arab Emirates,"Qasr Al Muwaiji, Al Ain, United Arab Emirates",Male,1948-09-07,72,"Khalifa bin Zayed bin Sultan Al Nahyan is the current president of the United Arab Emirates, the emir of Abu Dhabi, the supreme commander of the United Arab Emirates Armed Forces and the chairman of the Supreme Petroleum Council. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985435,00.html",United Arab Emirates
223,Robin Li ,LEADERS,2010,Null,"Yangquan, China",Male,1968-11-17,52,"Robin Li Yanhong is a Chinese software engineer and billionaire internet entrepreneur. He is the co-founder of the search engine Baidu, and one of the richest people in China, with a net worth of US$6.0 billion as of May 2020. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985434,00.html",China
224,Scott Brown ,LEADERS,2010,American attorney,"Kittery, ME",Male,1959-09-12,61,"Scott Philip Brown is an American diplomat, attorney, and politician serving as the United States Ambassador to New Zealand and Samoa. He is a former United States Senator for Massachusetts, and also was the 2014 Republican nominee for the U.S. Senate in New Hampshire. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984895,00.html",USA
225,Bill Clinton ,ICONS,2010,42nd U.S. President,"Hope, AR",Male,1946-08-19,74,"William Jefferson Clinton is an American politician and attorney who served as the 42nd president of the United States from 1993 to 2001. Prior to his presidency, he served as governor of Arkansas and as attorney general of Arkansas. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1984950,00.html",USA
226,Kim Yu-Na ,ICONS,2010,South Korean figure skater,"Bucheon-si, South Korea",Unknown,1990-09-05,30,"Yuna Kim, also credited in eastern name order as Kim Yuna or Kim Yeon-ah, is a retired South Korean competitive figure skater. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985220,00.html",South Korea
227,Mir-Hossein Mousavi ,ICONS,2010,Former Prime Minister of Iran,"Khamaneh, Iran",Male,1941-09-29,79,"Mir-Hossein Mousavi Khameneh is an Iranian reformist politician, artist and architect who served as the seventy-ninth and last Prime Minister of Iran from 1981 to 1989. He was a reformist candidate for the 2009 presidential election and eventually the leader of the opposition in the post-election unrest. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985221,00.html",Iran
228,Ben Stiller ,ICONS,2010,American actor,"New York, NY",Male,1965-11-30,55,"Benjamin Edward Meara Stiller is an American actor, comedian, film producer, film director, and writer. He is the son of the late comedians and actors Jerry Stiller and Anne Meara. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985239,00.html",USA
229,Temple Grandin ,ICONS,2010,Proponent,"Boston, MA",Female,1947-08-29,73,"Mary Temple Grandin is a prominent proponent for the humane treatment of livestock for slaughter and author of more than 60 scientific papers on animal behavior. She is a consultant to the livestock industry on animal behavior, and an autism spokesperson. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985222,00.html",USA
230,P. Namperumalsamy ,ICONS,2010,Indian doctor,"Ambasamudram, India",Male,1939-01-11,81,"Perumalsamy Namperumalsamy is an Indian ophthalmologist who specializes in diabetic retinopathy. He is also a retina-vitreous expert. Namperumalsamy is currently the chairman Emeritus of Aravind Eye Hospital, Madurai. He is known for bringing assembly-line efficiency to eye surgery. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985223,00.html",India
231,Nay Phone Latt ,ICONS,2010,Burmese blogger,"Yangon, Myanmar",Male,1980-06-28,40,"Nay Phone Latt is a Burmese blogger and activist, currently serving as a Yangon Region Hluttaw MP for Thingangyun Township. He was a recipient of PEN/Barbara Goldsmith Freedom to Write Award and selected for 2010 Time 100 list under Hero Categories. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985235,00.html",Myanmar
232,Chen Shu-chu ,ICONS,2010,,"Taitung County, Taiwan",Female,1905-05-04,69,"Chen Shu-chu is a vegetable vendor and philanthropist from Taitung County, Taiwan. She gives generously with her modest incomes. She said ""Money serves its purpose only when it is used for those who need it and always be happy when she helped others."" ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985237,00.html",Taiwan
233,Phil Mickelson ,ICONS,2010,American professional golfer,"San Diego, CA",Male,1970-06-16,50,"Philip Alfred Mickelson, nicknamed Lefty, is an American professional golfer. He has won 44 events on the PGA Tour, including five major championships: three Masters titles, a PGA Championship, and an Open Championship. Mickelson is one of 12 players in the history of golf to win three of the four majors. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985236,00.html",USA
234,Didier Drogba ,ICONS,2010,Ivorian soccer player,"Abidjan, Côte d'Ivoire",Male,1978-03-11,42,Didier Yves Drogba Tébily is an Ivorian retired professional footballer who played as a striker. He is the all-time top scorer and former captain of the Ivory Coast national team. ,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985240,00.html",Côte d'Ivoire
235,Graça Machel ,ICONS,2010,Minister for Education and Culture of Mozambique,"Gaza Province, Mozambique",Female,1945-10-17,75,Graça Machel DBE HonFBA is a Mozambican politician and humanitarian. She is the widow of both former presidents of Mozambique and South Africa; Mozambican president Samora Machel and South African president Nelson Mandela. ,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985241,00.html",Mozambique
236,Reem Al Numery ,ICONS,2010,Children's rights activist,Yemen,Female,1905-06-18,24,"Reem Al Numery is a children's rights activist in Yemen. Known for resisting child marriage, she was honored by U.S. Secretary of State Hillary Clinton on March 11, 2009, with the International Women of Courage Award. She was listed in the Time Magazine 2010 100 Most Influential People in the World. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985230,00.html",Null
237,Sachin Tendulkar ,ICONS,2010,Indian cricketer,"Mumbai, India",Male,1973-04-24,47,Sachin Ramesh Tendulkar is an Indian former international cricketer who served as captain of the Indian national team. He is widely regarded as the greatest batsmen in the history of cricket. He is the highest run scorer of all time in International cricket. ,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985228,00.html",India
238,Tristan Lecomte ,ICONS,2010,Null,"Reims, France",Male,1905-05-26,47,Null,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985225,00.html",France
239,Liya Kebede ,ICONS,2010,Ethiopian model,"Addis Ababa, Ethiopia",Female,1978-03-01,42,"Liya Kebede is an Ethiopian-born model, maternal health advocate, clothing designer, and actress. She has appeared on the cover of Vogue three times. Kebede has served as the WHO's Ambassador for Maternal, Newborn and Child Health since 2005. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985231,00.html",Ethiopia
240,Kiran Mazumdar-Shaw ,ICONS,2010,Chairperson of Biocon,"Pune, India",Female,1953-03-23,67,"Kiran Mazumdar-Shaw is an Indian billionaire entrepreneur. She is the chairperson and managing director of Biocon Limited, a biotechnology company based in Bangalore, India and the former chairperson of Indian Institute of Management, Bangalore. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985233,00.html",India
241,Zahra Rahnavard ,ICONS,2010,Iranian artist,"Borujerd, Iran",Female,1945-08-19,75,"Zahra Rahnavard is an Iranian academic, artist and politician. Rahnavard is a university professor, artist, and crusading intellectual who had been under house arrest from February 2011 to May 2018. In 2009, Foreign Policy magazine named her one of the world’s most distinguished thinkers. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985245,00.html",Iran
242,Jet Li ,ICONS,2010,Film actor,"Beijing, China",Male,1963-04-26,57,"Li Lianjie, better known by his stage name Jet Li, is a Chinese-Singaporean film actor, film producer, martial artist, and retired Wushu champion who was born in Beijing. After three years of training with acclaimed Wushu teacher Wu Bin, Li won his first national championship for the Beijing Wushu Team. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985246,00.html",China
243,Serena Williams ,ICONS,2010,American tennis player,"Saginaw, MI",Female,1981-09-26,39,"Serena Jameka Williams is an American professional tennis player and former world No. 1 in women's single tennis. She has won 23 Grand Slam singles titles, the most by any player in the Open Era, and the second-most of all time behind Margaret Court. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985247,00.html",USA
244,Chief Master Sergeant Tony Travis ,ICONS,2010,Null,,Male,,0,Null,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985270,00.html",Null
245,Karls Paul-Noel ,ICONS,2010,Null,,Male,,0,Null,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985274,00.html",Null
246,Rahul Singh ,ICONS,2010,Indian actor,"Udaipur, India",Male,1976-10-18,44,Rahul Singh is an actor known for his works in Bollywood. Singh's mother Prabha Thakur is a Hindi poet and also a member of Rajya Sabha. ,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985267,00.html",India
247,Valentin Abe ,ICONS,2010,Null,Côte d'Ivoire,Male,,0,Null,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985272,00.html",Null
248,Malalai Joya ,ICONS,2010,Activist,"Farah, Afghanistan",Female,1978-04-25,42,"Malalai Joya is an activist, writer, and a former politician from Afghanistan. She served as a Parliamentarian in the National Assembly of Afghanistan from 2005 until early 2007, after being dismissed for publicly denouncing the presence of warlords and war criminals in the Afghan Parliament. ","www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985238,00.html",Afghanistan
249,Will Allen ,ICONS,2010,Null,"Rockville, MD",Male,1949-02-08,71,Will Allen is an American urban farmer based in Milwaukee and a retired professional basketball player. ,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985243,00.html",USA
